
vinc,vict|胜，征服
well-financed,'wɛlfɪ'nænst,adj.资金充足的
government-finance,ˈgʌvənmənt-faɪ'næns,n. [ 财政 ]政府财政
campaign-finance,kæm'peɪn-faɪ'næns,n.竞选资金；竞选财政
personal-finance,'pɜːs(ə)n(ə)l-faɪ'næns,n.个人财务
define,dɪ'faɪn,v. 规定；限定；定义；解释
defining,dɪ'faɪnɪŋ,adj. 定义性的；限定的 动词define的现在分词.
defined,dɪ'faɪnd,adj. 有定义的；明确的，确定的，清晰的；轮廓分明的 v. 规定；限定；定义；解释（动词define的过去式和过去分词）
definer,dɪ'faɪn,v. 规定；限定；定义；解释
definite,'defɪnət,adj. 明确的；一定的；有把握的
definitely,'defɪnətli,adv. 肯定地；当然地；明确地
definition,ˌdefɪ'nɪʃn,n. 定义；阐释；清晰度
definitional,defɪ'nɪʃnəl,adj. [计]定义的；明确的
definitive,dɪ'fɪnətɪv,adj. 权威性的；明确的；确定的；决定性的 n. 限定词
definitively,dɪ'fɪnətɪvli,adv. 决定性地；最后地
undefined,ˌʌndɪ'faɪnd,adj. 未定义的；不明确的
indefinite,ɪn'defɪnət,adj. 模糊的；不确定的；无限期的
indefinitely,ɪn'defɪnətli,adv. 无限地；不确定地；模糊地
definitude,dɪ'fɪnɪtjuːd,n. 明确性
definable,dɪ'faɪnəbl,adj. 可定义的；可确定的
indefinable,ˌɪndɪ'faɪnəbl,adj. 难以说明的；不确定的
undefinable,ʌndɪ'faɪnəbl,adj. 不能下定义的；不确定的
predefined,priːdɪ'faɪnd,adj. 预定义的；预先确定的
redefine,ˌriːdɪ'faɪn,v. 重新定义
redefinition,ˌriːdefɪ'nɪʃn,n. 重新定义
redefined,'riːdɪ'faɪnd,adj. 重新定义的 动词redefine的过去式和过去分词形式.
high-definition,'haidefi'niʃən,adj. 非常鲜明的
standard-definition,'stændəd-defɪ'nɪʃ(ə)n,n. [ 计 ]标准定义
well-defined,'weldɪ'faɪnd,adj. 定义明确的；明确的；清晰可辨的
ill-defined,ɪl dɪ'faɪnd,adj. 不清楚的；欠明了的
self-defined,'selfdɪf'aɪnd,自定义
self-defining,'selfdɪf'aɪnɪŋ,n. 自定义
user-defined,'juːzədɪf'aɪnd,adj. 用户定义的
finish,'fɪnɪʃ,v. 完成；结束；最后加工；用完 n. 结束；完成；最后一层涂饰
finisher,'fɪnɪʃə(r),n. 运动中最后一击者；修整机(精整工)
finished,'fɪnɪʃt,adj. 完成的；精湛的 动词finish的过去式和过去分词.
finishing,'fɪnɪʃɪŋ,adj. 最后的；结束的 n. 结束；表面修饰 动词finish的现在分词.
unfinished,ʌn'fɪnɪʃt,adj. 未完成的；未经最后加工的
half-finished,'hɑːff'ɪnɪʃt,半成品的
refinish,riː'fɪnɪʃ,vt.  重新修光； 整修 ... 的表面
prefinished,pri-'fɪnɪʃtid,adj.预加工的；预涂饰的；未加工的n.预油实木地板；强化地板
finite,'faɪnaɪt,adj. 有限的
infinity,ɪn'fɪnəti,n. 无限；无穷；[数]无穷大
finitude,'faɪnɪtjuːd,n. 有限；限定
infinite,'ɪnfɪnət,adj. 无穷的；无限的 n. 无限
infinitely,'ɪnfɪnətli,adv. 无限地；无穷地
infinitude,ɪn'fɪnɪtjuːd,n. 无限；无穷；无量
infinity,ɪn'fɪnəti,n. 无限；无穷；[数]无穷大
infinitive,ɪn'fɪnətɪv,n. 不定式
infinitival,ɪnˌfɪnɪ'taɪvəl,adj. 不定词的
infinitesimal,ˌɪnfɪnɪ'tesɪml,adj. 极微的；无限小的 n. 极微量
infinitesimally,ˌɪnfɪnɪ'tesɪməli,adv. 极小地
finite-element,'faɪnaɪt'elɪmənt,有限元
finial,'fɪniəl,n. 尖顶饰；顶尖
confine,kən'faɪn,vt. 限制；禁闭 n. 范围；界限；约束；限制
confinement,kən'faɪnmənt,n. 拘禁；限制；分娩
confining,kən'faɪnɪŋ,adj. 限制的；拘束的；狭窄的 动词confine的现在分词形式.
confined,kən'faɪnd,adj. 被限制的；狭窄的；在分娩中的 动词confine的过去式和过去分词.
unconfined,ˌʌnkən'faɪnd,adj. 无约束的；自由的
refine,rɪ'faɪn,v. 精炼；改进；使更文雅
refinement,rɪ'faɪnmənt,n. 精致；文雅；改良；精炼；提炼
refined,rɪ'faɪnd,adj. 精炼的；优雅的；精细的 动词refine的过去式和过去分词.
unrefined,ˌʌnrɪ'faɪnd,adj. 未精炼的；粗俗的
refining,rɪ'faɪnɪŋ,n. 精炼法；改善；匀料 动词refine的现在分词.
refiner,rɪ'faɪnə(r),n. 精练者；精练机；推论精细的人
refinery,rɪ'faɪnəri,n. 精练厂
finis,'faɪnɪs,n. 终结；结束

fan,phan|幻影，幻象
fan,fæn,n. 风扇；扇子；扇形物 n. 迷；狂热爱好者 vt. 扇；展开扇形；煽动 vi. 成扇形；[棒]三振出局
fancy,'fænsi,adj. 华丽装饰的；复杂的；引人注目的；时髦的；昂贵的；好的 n. 喜爱；幻想；想像力 vt. 想象；希望；迷恋
fancier,'fænsiə(r),n. 饲养或贩卖动物之人；有特别爱好的人；发烧友 形容词fancy的比较级.
fancied,'fænsɪd,adj. 空想的；虚构的；受喜爱的 动词fancy的过去式和过去分词.
fanciful,'fænsɪfl,adj. 想像的；奇怪的；稀奇的
fancifully,'fænsɪfəli,adv. 梦想地
fancy-free,'fænsi'fri:,adj. 不受拘束地进行想象；未知恋爱滋味的；天真无邪的
fantasy,'fæntəsi,n. 幻想 v. 幻想
fantasist,'fæntəsɪst,n. 幻想曲作曲家
fantasize,'fæntəsaɪz,v. 想像；幻想 =fantasise(英).
fantasia,fæn'teɪziə,n. 幻想曲
fantasyland,'fæntəsɪlənd,n. 梦境；太虚幻境
fantast,'fæntæst,n. 幻想家；梦想家
fantastic,fæn'tæstɪk,adj. 极好的；巨大的；奇异的；难以置信的；幻想的
fantastical,fæn'tæstɪkl,adj. 幻想的；奇异的；极好的 =fantastic.
fantastically,fæn'tæstɪkli,adv. 空想地；非常地
fantasticate,fæn'tæstəkeɪt,vt.使怪诞；使变得荒唐vi.幻想
fanatic,fə'nætɪk,n. 狂热者；极端分子；盲信者 adj. 狂热的；盲信的
fanaticism,fə'nætɪsɪzəm,n. 狂热；盲从
fanatical,fə'nætɪkl,adj. 狂热的；入迷的
fanatically,fə'nætɪkli,adv. 狂热地
phantasy,'fæntəsɪ,n. 幻想；怪念头；[音]幻想曲 =fantasy.
phantasm,'fæntæzəm,n. 幻像；幻影；幽灵；幻觉；幻想 =fantasm.
phantasma,fæn'tæzmə,n. 幻影；空想
phantasmal,fæn'tæzməl,adj. 幻影的；幽灵一样的
phantasmagoria,ˌfæntæzmə'ɡɒriə,n. 千变万化的风景；幻灯的一种；幻觉效应
phantasmagoric,fæntæzmə'gɒrɪk,adj. 幻影似的；变幻不定的
phantasmagorical,ˌfæntæzmə'ɡɒrɪkl,adj. 幻影的; 变化无常的
phantom,'fæntəm,n. 幻影；幽灵 adj. 错觉的；幻影的；幽灵的
diaphanous,daɪ'æfənəs,adj. 透明的；模糊的
sycophant,'sɪkəfænt,n. 马屁精
ephemeral,ɪ'femərəl,adj. 短暂的；朝生暮死的 n. 生存极短时间的事物
epiphany,ɪ'pɪfəni,n. 顿悟；(神灵）显现 Ephiphanyn: [宗]主显节.
epiphanic,epɪ'fænɪk,adj. 顿时领悟的 使人顿悟的.
fanfare,'fænfeə(r),n. 仪式上用的短曲（通常用小号吹奏）；〈非正式〉炫耀

frequen,frequent|反复
frequency,'friːkwənsi,n. 频繁；频率
frequence,'friːkwəns,n. 频率；频繁 (=frequency)
frequent,'friːkwənt,adj. 频繁的；经常的 vt. 常到；常去
frequently,'friːkwəntli,adv. 频繁地；经常地
frequentable,friːk'wənteɪbl,adj. 时常发生的；频繁的；屡次的
frequentation,ˌfriːkwen'teɪʃən,n. 常访；常往；时常出入
infrequency,ɪn'friːkwənsɪ,n. 稀少；很少发生
infrequent,ɪn'friːkwənt,adj. 不频发的；不常见的
infrequently,ɪn'friːkwəntli,adv. 罕见地；稀少的
high-frequency,'haɪ'friːkwənsɪ,adj. 高周波的；高频率的
low-frequency,'ləʊfrɪkwənsɪ,adj. 低周波的；低频率的
frequent-flier,'friːkw(ə)nt-'flaɪə,n.( 航空公司的 ) 常飞顾客
frequent-flyer,'friːkw(ə)nt-'flaɪə,n.飞行常客
frequency-dependent,'friːkw(ə)nsɪ-dɪ'pɛndənt,adj .与频率有关的；频变

di,day日
diet,'daɪət,n. 日常食物；规定饮食；节食 n. （日本等国的）国会 v. 节食；照规定饮食；喂食
dieting,'daɪətɪŋ,n. 节食 动词diet的现在分词.
dieter,'daɪətə(r),n. 节食者
dietary,'daɪətəri,adj. 饮食的；饭食的 n. 规定的食物；饮食的规定
dietetic,ˌdaɪə'tetɪk,adj. 饮食的；营养的
dietetics,ˌdaɪə'tetɪks,n. 营养学
dietitian,ˌdaɪə'tɪʃn,n. 饮食学家；营养学家 =dietician.
dietician,ˌdaɪɪ'tɪʃən,n. 营养学家
diary,'daɪəri,n. 日记；日记簿
diarist,'daɪərɪst,n. 日记作家；日记作者
diarize,'daɪəraɪz,vt. 记日记
diarial,daiː'eərɪəl,adj. 日记的
dial,'daɪəl,n. 拨号盘；刻度盘；日晷；钟面 v. 拨号；打电话
dialing,'daɪəlɪŋ,n. 拨号；呼叫 动词dial的现在分词.
dial-up,'daiəlʌp,adj. [计]拨号(上网)的
speed-dial,spiːd-'daiəl,n.快速拨号
redial,'riːdaɪəl,n. 重拨 v. 重拨
meridian,mə'rɪdiən,n. 子午线；经线；顶点；正午 adj. 子午线的；正午的；顶点的
meridional,mə'rɪdɪənl,adj. 南部的；南欧的；子午线的 n. 南欧人；南方人
antemeridian,æntɪmə'rɪdiən,adj. 上午的
postmeridian,'pəʊstmə'rɪdɪən,adj. 午后的；午后发生的

rar|稀有
rare,reə(r),adj. 罕见的；珍贵的；煎得嫩的
rarely,'reəli,adv. 很少；难得
rarity,'reərəti,n. 稀有；珍品；稀薄
rarify,'reərɪfaɪ,v. 使[气体]变稀薄 使成精细.
rarified,'reərɪfaɪd,adj. 稀薄的；机密的；崇高的 =rarefied.
rarefy,'reərɪfaɪ,vt. 使变稀少；使变纯净 vi. 变稀薄 =rarify.
rarefied,'reərɪfaɪd,adj. 稀薄的；极高的 动词rarefy的过去式和过去分词形式.
rare-earth,'reər'ɜːθ,adj. 稀土的 n. 稀土族
rare-book,'reərb'ʊk,善本

verb|字，词
verb,vɜːb,n. 动词
verbal,'vɜːbl,adj. 口头的；用言语的；用文字的；逐字的；动词的 n. 动名词
verbally,'vɜːbəli,adv. 口头地；词句地；逐字地
nonverbal,ˌnɒn'vɜːbl,adj. 非言辞语的；不用语言的
nonverbally,nɒn'vɜːbəli,adv.非动词（形式）地
pre-verbal,p'riːv'ɜːbl,adj. 学语前的
subject-verb,ˈsʌbdʒɪkt-vɜːb,主谓
proverb,'prɒvɜːb,n. 谚语；格言；众所周知的人
proverbial,prə'vɜːbiəl,adj. 谚语的；如同谚语的；众所周知的
proverbially,prə'vɜːbiəli,adv. 无人不知地；谚语地
adverb,'ædvɜːb,n. 副词 adj. 副词的
adverbial,æd'vɜːbiəl,adj. 副词的；作副词用的 n. 状语
verbatim,vɜː'beɪtɪm,adj. 逐字的 adv. 逐字地
verbalize,'vɜːbəlaɪz,vi. 用语言表达；赘述 vt. 使变成动词；用词语描述 =verbalise(英）.
verbalized,'vɜːbəlaɪz,vi. 用语言表达；赘述 vt. 使变成动词；用词语描述 =verbalise(英）.
verbalization,'vɜːbəlaɪˌzeɪʃən,n. 以言语表现；动词化；冗长；冗赘
verbiage,'vɜːbiɪdʒ,n. 废话；冗长；措辞
verbose,vɜː'bəʊs,adj. 罗嗦的；冗长的
verbosity,vɜː'bɒsəti,n. 唠叨；冗长

anxi|紧张，不安
anxiety,æŋ'zaɪəti,n. 焦虑；担心；渴望
anxious,'æŋkʃəs,adj. 渴望的；忧虑的
anxiously,'æŋkʃəsli,adv. 焦急地；忧虑地；担心地
anxiousness,'æŋkʃəsˌnɪs,n. 焦急；焦虑
overanxious,əʊvə'ræŋkʃəs,adj. 过于担心的(过分渴望的)
anti-anxiety,'æntaɪ-æŋ'zaɪətɪ,抗焦虑
anxiety-ridden,æŋ'zaɪətiːr'ɪdn,忧心忡忡的
anxiety-provoking,æŋ'zaɪətɪ-prə'vəʊkɪŋ,adj.引发焦虑的

jur,jud,jus|法律
jury,'dʒʊəri,n. 陪审团；评委会 adj. 临时用的 vt. 挑选
juror,'dʒʊərə(r),n. 陪审员
jural,'dʒʊərəl,adj. 法制的；法律上的；权利义务相关的
jurist,'dʒʊərɪst,n. 法律工作者；法学家；法理学者；法律著作家
juristic,dʒʊə'rɪstɪk,adj. 法学的；法学家的；法律上所承认的
juristical,dʒʊə'rɪstɪkəl,adj. 法律上所承认的
jurisdiction,ˌdʒʊərɪs'dɪkʃn,n. 管辖权；司法权；审判权；控制权
jurisdictional,dʒʊrɪs'dɪkʃənl,adj. 司法权的；裁决权的；管辖权的
jurisprudence,ˌdʒʊərɪs'pruːdns,n. 法律学；法学体系；判例，判例法
jurisprudential,ˌdʒʊərɪspruː'denʃəl,adj. 法律学的；法律学上的
multi-jurisdictional,'mʌlti-,dʒʊrɪs'dɪkʃənl,adj.多种司法体制的
inter-jurisdictional,'intə-,dʒʊrɪs'dɪkʃənl,adj.跨司法管辖区的
jury-rigged,'dʒʊərɪˌrɪgd,adj. 临时或应急配备的
grand-jury,grand-'dʒʊərɪ,n.大陪审团
injure,'ɪndʒə(r),vt. 伤害；损害；损伤
injury,'ɪndʒəri,n. 伤害；损害
injured,'ɪndʒəd,adj. 受伤的
uninjured,ʌn'ɪndʒəd,adj. 未蒙损失的；未受伤害的
injurious,ɪn'dʒʊəriəs,adj. 有害的；中伤的
injury-free,'ɪndʒə-fri:,无工伤的
injury-prone,'ɪndʒəriːpr'əʊn,容易受伤的
injury-plagued,'ɪndʒə-pleɪɡd,adj.伤痛困扰的
injury-riddled,'ɪndʒə-,adj.疾病缠身的
oft-injured,ɒft-'ɪndʒəd,adj.常受伤的
pre-injury,priː-'ɪndʒə,adj.伤前的
brain-injured,breɪn-'ɪndʒəd,adj.脑外科的
personal-injury,'pɜːs(ə)n(ə)l-'ɪndʒə,n.人身伤害
judge,dʒʌdʒ,n. 法官；裁判 v. 断定；判断；审判
judged,dʒʌdʒ,n. 法官；裁判 v. 断定；判断；审判
judging,dʒʌdʒɪŋ,n. 判决 动词judge的现在分词形式.
judgeship,'dʒʌdʒʃɪp,n. 法官的地位
judgement,'dʒʌdʒmənt,n. 判断；判决；审判；评价；意见
judgment,'dʒʌdʒmənt,n. 裁判；判断；判断力；意见；判决书
judgmental,dʒʌdʒ'mentl,adj. （主观）判断的；审判的；武断的
judgmentalism,dʒʌdʒ'mentəlɪz(ə)m,n. < 宗 > 原教旨主义
nonjudgmental,nɒndʒʌdʒ'mentl,adj. 不按个人道德标准进行评定的; 不偏不倚的
misjudge,ˌmɪs'dʒʌdʒ,v. 判断错误
misjudgment,mɪs'dʒʌdʒmənt,n. 估计错误；判断不公
prejudge,ˌpriː'dʒʌdʒ,v. 预先判断；[律]不审而判
prejudgment,priːd'ʒʌdʒmənt,n. 预先判断
adjudge,ə'dʒʌdʒ,vt. 宣判；判决；裁定给与
judge-made,'dʒʌdʒmeɪd,adj. 法官制定的
prejudice,'predʒudɪs,n. 偏见；伤害 vt. 伤害；使 ... 存偏见；使偏袒
prejudiced,'predʒədɪst,adj. 有偏见的 动词prejudice的过去时和过去分词.
prejudicial,ˌpredʒu'dɪʃl,adj. 有害的；有偏见的
unprejudiced,ʌn'predʒədɪst,adj. 无偏见的；没有成见的；公平的
justice,'dʒʌstɪs,n. 公平；公正；正义；司法；法官；法律制裁
injustice,ɪn'dʒʌstɪs,n. 不公正；不公正的行为
judicial,dʒu'dɪʃl,adj. 司法的；法庭的；公正的；审判上的
judicially,dʒu'dɪʃəli,adv. 依法判决地；公平地
judiciary,dʒu'dɪʃəri,n. 司法部；司法制度；法官 adj. 司法的；法院的；法官的
judicious,dʒu'dɪʃəs,adj. 明智的；贤明的；审慎的
judiciously,dʒu'dɪʃəsli,adv. 明智而审慎地；有见地地
injudicious,ˌɪndʒu'dɪʃəs,adj. 不明智的；不慎重的；欠考虑的
criminal-justice,criminal-'dʒʌstɪs,n.刑事司法； [ 法 ]刑事审判
social-justice,'səʊʃ(ə)l-'dʒʌstɪs,n. [ 法 ]社会主社会正义社会公正
juvenile-justice,'dʒuːvənaɪl-'dʒʌstɪs,n.青少年司法
extrajudicial,ˌekstrədʒu'dɪʃl,adj. 法庭职权以外的
non-judicial,nɔn-dʒuː'dɪʃ(ə)l,adj.非司法的；非诉讼性的
quasi-judicial,'kwɑ'zɪdʒuː'dɪʃəl,adj. 准司法性的
abjure,əb'dʒʊə(r),v. 发誓弃绝；公开放弃
perjure,'pɜːdʒə(r),vt. 发伪誓；作伪证
perjury,'pɜːdʒəri,n. 伪证罪；伪誓；背信弃义
perjurer,'pɜːdʒərə(r),n. 伪誓者；伪证者
perjured,'pɜːdʒəd,adj. 伪证的；犯伪证罪的
perjurious,'pə'dʒʊərɪəs,adj. 伪证的；犯伪证罪的
adjudicate,ə'dʒuːdɪkeɪt,v. 判决；裁定；充当裁判
adjudication,əˌdʒuːdɪ'keɪʃn,n. 判决；裁定；破产之宣告
adjudicator,ə'dʒuːdɪkeɪtə(r),n. 审判员；裁判员
adjudicative,ə'dʒuːdɪkeɪtɪv,adj. 判决的
jus,ʒuː,n. 〈拉〉法律原则
just,dʒʌst,adv. 刚才；仅仅；正好；正是；简直 adj. 公平的；公正的；适当的；精确的
unjust,ˌʌn'dʒʌst,adj. 不公平的
justly,'dʒʌstli,adv. 公正地；理由充分地；正当地
unjustly,ˌʌn'dʒʌstli,adv. 不公正；不法地
justness,'dʒʌstnɪs,n. 公正；正当；正确；合理
just-in-time,'dʒʌstintaim,n. 恰好够用
just-released,dʒʌst-rɪ'li:st,v.释放（ release的过去式） ；已发布
just-published,dʒʌst-'pʌblɪʃd,adj.新公布的
just-picked,dʒʌst-pɪktɪd,adj.刚摘下的
just-opened,dʒʌst-'opənd,adj.
just-right,dʒʌst-raɪt,adv.刚刚好，正好，恰如其分
just-war,dʒʌst-wɔː,n.正义战争
justify,'dʒʌstɪfaɪ,vt. 替 ... 辩护；证明 ... 正当；调整版面
justified,'dʒʌstɪfaɪd,adj. 合理的；合法化的
justifying,'dʒʌstɪfaɪɪŋ,n. 活字整理；辩护 动词justify的现在分词形式.
unjustified,ʌn'dʒʌstɪfaɪd,adj. 不合理的；不正当的；未被证明其正确的
justification,ˌdʒʌstɪfɪ'keɪʃn,n. 辩护；正当的理由
justificatory,'dʒʌstɪfɪˌkætərɪ,adj. 用来辨解的
justifiable,'dʒʌstɪfaɪəbl,adj. 可辩解的；可证明为正当的；有理的
unjustifiable,ʌn'dʒʌstɪfaɪəbl,adj. 不合道理的；不可原谅的
justifiably,dʒʌstɪ'faɪəbli,adv. 言之有理地；无可非议地
unjustifiably,ʌn'dʒʌstɪfaɪəbli,adv. 不合理地(无理地；不能认为正当的)
self-justifying,'selfdʒ'ʌstɪfaɪɪŋ,adj. 自己辩白的；自我辩护
self-justification,'selfˌdʒʌstɪfɪ'keɪʃən,n. 自我辩白
adjust,ə'dʒʌst,v. 调整；校准；调节；使适应
adjustor,ə'dʒʌstə,n. 调整者；调停者；调节器理赔人
adjuster,ə'dʒʌstə,n. 调整者；调停者；调节器；理赔人 =adjustor.
adjusting,ə'dʒʌstɪŋ,n. 调节；校准；调整；调制 动词adjust的现在分词形式.
adjusted,ə'dʒʌstɪd,adj. 调整过的 动词adjust的过去式和过去分词形式.
unadjusted,ˌʌnə'dʒʌstɪd,adj. 未调整的；未调节的；未适应的；未校准的
adjustment,ə'dʒʌstmənt,n. 调整；调节
adjustable,ə'dʒʌstəbl,adj. 可调整的
adjustability,əˌdʒʌstə'bɪlɪtɪ,n. 可调整性
readjust,ˌriːə'dʒʌst,v. 重新适应；再调整
readjustment,ˌriːə'dʒʌstmənt,n. 再整理；再调整
maladjusted,ˌmælə'dʒʌstɪd,adj. 失调的；不能适应环境的
maladjustment,ˌmælə'dʒʌstmənt,n. 不适应环境；失调
well-adjusted,'welədʒ'ʌstɪd,adj. 完全适应环境的 adj. 完全调试好了的
age-adjusted,eɪdʒ-ə'dʒʌstid,adj.按龄期调整的；年龄标化的
risk-adjusted,'rɪskədʒ'ʌstɪd,风险调整
self-adjusting,ˌselfə'dʒʌstɪŋ,adj. 自动调整的
inflation-adjusted,ɪn'fleɪʃ(ə)n-ə'dʒʌstid,adj.扣除物价上涨因素的
height-adjustable,haɪt-ə'dʒʌstəbl,adj.高度可调的
adjustable-rate,ə'dʒʌstəbl-haɪt,n.浮动利率
conjure,'kʌndʒə,v. 变戏法；恳求；唤起；以咒文召唤
conjurer,kʌn'dʒʊrə,n. 魔术师；巫师 =conjuror.
conjuring,'kʌndʒərɪŋ,n. 魔术 动词conjure的现在分词形式.
conjuration,ˌkɒndʒʊə'reɪʃən,n. 戏法；魔法；施法；恳求

pun(i),poen,pain,penal,pent|惩罚
punish,'pʌnɪʃ,vt. 惩罚；粗暴对待 vi. 处罚
punisher,'pʌnɪʃə,n. 处罚者；惩罚者
punishment,'pʌnɪʃmənt,n. 惩罚
punishable,'pʌnɪʃəbl,adj. 该罚的；可罚的
punishing,'pʌnɪʃɪŋ,adj. 艰难持久的；精疲力尽的 动词punish的现在分词.
punished,'pʌnɪʃt,adj. 受处罚的 动词punish的过去式和过去分词.
unpunished,ʌn'pʌnɪʃt,adj. 不受处罚的；不被处罚的；免去刑法的
punitive,'pjuːnətɪv,adj. 惩罚的；刑罚的
punitively,'pjuːnətɪv,adj. 惩罚的；刑罚的
nonpunitive,nɒn-'pjuːnɪtɪv,adj.非惩罚性的；非刑罚的
impunity,ɪm'pjuːnəti,n. 不受惩罚；免罚
penal,'piːnl,adj. 刑罚的；刑事的；严重的
penalize,'piːnəlaɪz,v. 处罚；使不利
penalized,'piːnəlaɪz,v. 处罚；使不利
penalty,'penəlti,n. 处罚；惩罚；不利；罚球
penalty-free,'pen(ə)ltɪ-fri:,n.无惩罚型
death-penalty,'deθp'enltɪ,n. 死刑
pain,peɪn,n. 痛苦；疼痛；辛苦；烦人之人或事 v. 使 ... 痛苦；痛苦；疼
pained,peɪnd,adj. 痛苦的 动词pain的过去式和过去分词形式.
painful,'peɪnfl,adj. 痛苦的；疼痛的；费力的
painfully,'peɪnfəli,adv. 痛苦地；苦恼地；费力地
painless,'peɪnləs,adj. 无痛的；不痛的
painlessly,'peɪnləsli,adv. (口语)不难地；不费力地
painstaking,'peɪnzteɪkɪŋ,adj. 辛苦的；勤勉的；十分小心的 n. 辛苦；苦心；工夫
painstakingly,'peɪnzteɪkɪŋli,adv. 费力地；苦心地
painkiller,'peɪnkɪlə(r),n. 止痛药
pain-killing,'peɪn,kɪlɪŋ,散利痛, 撒烈痛[解热镇痛药]
pain-free,peinfri:,adj.无痛的
pain-relieving,'peɪnrɪl'iːvɪŋ,镇痛
pain-filled,peɪnfɪld,充满痛苦的
subpoena,sə'piːnə,n. （传唤出庭的）传票 v. 用（传票）传唤
repent,rɪ'pent,v. 后悔；悔悟；忏悔
repentance,rɪ'pentəns,n. 后悔；悔改
repentant,rɪ'pentənt,adj. 后悔的；悔悟的
unrepentant,ˌʌnrɪ'pentənt,adj. 不后悔的；不思悔改的；顽固不化的

norm|规范，正规，正常
norm,nɔːm,n. 规范；标准
norming,'nɔːmɪŋ,n. 规范化
normed,'nɔːmd,adj. 赋范的
normlessness,'nɔːmləsnəs,失范
normal,'nɔːml,adj. 正常的；正规的；精神健全的 n. 常态；标准
normally,'nɔːməli,adv. 通常；正常地
normalize,'nɔːməlaɪz,v. 使正常；使标准化；使合规格
normalized,'nɔːməlaɪzd,adj. 标准化的；正常化的 动词normalize的过去式和过去分词形式.
normalization,ˌnɔːməlaɪ'zeɪʃn,n. 常态化；正常化；正规化
renormalization,'riːnɔːməlaɪ'zeɪʃən,n. 重正化(再归一化)
normality,nɔː'mæləti,n. 常态 =normalcy(美).
normative,'nɔːmətɪv,adj. 标准的；规范的；基准的
non-normative,'nɒnn'ɔːmətɪv,超规范化
normativity,nɔːmə'tɪvɪtɪ,规范性
normalcy,'nɔːmlsi,n. 常态
abnormal,æb'nɔːml,adj. 反常的；不正常的；变态的 n. 不正常的人
abnormally,æb'nɔːməli,adv. 异常地；例外地；不规则地
abnormality,ˌæbnɔː'mæləti,n. 变态；反常；异常；畸形
paranormal,ˌpærə'nɔːml,adj. 超过正常的；超自然的
subnormal,ˌsʌb'nɔːml,adj. 正常以下的；普通以下的；低能的
supernormal,ˌsuːpə'nɒməl,adj. 非凡的；异于寻常的
denormalized,di'nɔːm(ə)laɪzd,adj.非规格化的
normal-looking,'nɔːm(ə)l-'lʊkɪŋ,n.正常外貌
normal-size,'nɔːm(ə)l-saɪz,n. [ 计量 ]标准尺寸
normal-hearing,'nɔːm(ə)l-'hɪərɪŋ,adj.听力正产的
normal-weight,'nɔːm(ə)l-weɪt,n.正常体重
above-normal,ə'bʌvn'ɔːml,adj. 正常以上的；超常的
below-normal,bɪ'ləʊn'ɔːml,adj. 低于正常的
near-normal,'niərn'ɔːml,adj. 近乎正常的
non-normal,'nɒnn'ɔːml,adj. 非正规的；不垂直的
higher-than-normal,ˈhaɪə(r)-ðæn-'nɔːm(ə)l,adj.高于正常的
enormity,ɪ'nɔːməti,n. 暴行；极恶；巨大
enormous,ɪ'nɔːməs,adj. 巨大的；庞大的
enormously,ɪ'nɔːməsli,adv. 极度；大量

rad(io),ray|光线 ,辐射
radio,'reɪdiəʊ,n. 收音机；无线电 v. 用无线电通讯
radiology,ˌreɪdi'ɒlədʒi,n. 放射学；放射线科
radiologist,ˌreɪdi'ɒlədʒɪst,n. 放射线学者
radiological,reɪdɪəʊ'lɒdʒɪkəl,adj. 放射线学的
radiotherapy,ˌreɪdiəʊ'θerəpi,n. 放射线疗法
radiograph,'reɪdɪəʊgrɑːf,n. X 光照片；放射线照片 v. 拍 X 光线照片
radiography,ˌreɪdi'ɒɡrəfi,n. X光线照相术；放射线照相术
radiographic,ˌreɪdɪəʊ'græfɪk,adj. 放射光线照相术的
radiographically,'reɪdɪəʊgrɑːf,n. X 光照片；放射线照片 v. 拍 X 光线照片
radiocarbon,ˌreɪdiəʊ'kɑːbən,n. 放射性炭
radionuclide,'reɪdɪəʊ'njuːklaɪd,n. 放射性核种；放射性核素
radioisotope,ˌreɪdiəʊ'aɪsətəʊp,n. 放射性同位素
radioman,'reɪdɪəʊmæn,n. 无线电人员
radiometer,ˌreɪdɪ'ɒmɪtə,n. 辐射计；放射计
radiometric,ˌreɪdiəʊ'metrɪk,adj. 辐射测量的；辐射度的
radio-tv,redɪo'-ti:ˈvi:,n.广播电视
radio-wave,'reɪdiːəʊw'eɪv,电波
radio-collared,redɪo-'kɒləd,adj.戴上无线电颈圈的
radio-controlled,redɪo-kən'trəʊld,adj. 无线电操纵的
talk-radio,tɔːk-,redɪo,n.电台的嘉宾热线节目； “ 脱口 ” 广播节目
college-radio,'kɒlɪdʒ-'reɪdɪəʊ,n.大学电台
ray,reɪ,n. 光线；射线；辐射 vi. 发光；辐射 vt. 释放射线；用光线装饰 n. [动]鳐 Ray. n. 雷（人名）
X-ray,'eksreɪ,n. X射线；光机；X光照片 vt. 用X射线检查
cosmic-ray,'kɒzmɪkr'eɪ,宇宙线
gamma-ray,'ɡæmər'eɪ,n. 伽马射线
cathode-ray,'kæθəʊdr'eɪ,阴极射线

prehend,prehens|抓住
comprehend,ˌkɒmprɪ'hend,vt. 充分理解；领悟；包括
